"county_fips","state","county","total_population","median_household_income","poverty_rate","median_age","median_gross_rent"
"08003","Colorado","Alamosa",16515,51445,18.226695730221824,33.1,904
"08005","Colorado","Arapahoe",655709,97215,8.50319671941959,37.3,1812
"08007","Colorado","Archuleta",13730,76524,8.334558283110391,52.2,1409
"08009","Colorado","Baca",3460,40380,24.07847800237812,43.0,490
"08011","Colorado","Bent",5524,49194,31.702728127939793,41.7,854
"08013","Colorado","Boulder",328317,102772,11.449994773138366,37.5,1893
"08014","Colorado","Broomfield",75110,121025,4.95042872454448,38.8,2074
"08015","Colorado","Chaffee",19876,70909,9.967567567567567,47.6,1514
"08017","Colorado","Cheyenne",1732,67768,11.413364872856297,43.0,862
"08019","Colorado","Clear Creek",9358,96667,6.798103856927386,49.2,1230
"08021","Colorado","Conejos",7536,47209,13.77837116154873,38.8,724
"08023","Colorado","Costilla",3571,36519,22.331737538721484,50.7,857
"08025","Colorado","Crowley",5734,47563,18.242757960258558,39.6,976
"08027","Colorado","Custer",5073,72700,9.676145339652448,58.6,1021
"08029","Colorado","Delta",31353,58330,14.205669083717865,48.4,1080
"08031","Colorado","Denver",713734,91681,11.210627494737983,35.2,1770
"08033","Colorado","Dolores",2385,70490,18.78406708595388,57.2,1688
"08035","Colorado","Douglas",368283,145737,3.227081209835226,39.5,2095
"08037","Colorado","Eagle",55374,103174,8.272766916200306,39.3,2032
"08039","Colorado","Elbert",27152,129477,5.329396567632404,44.8,1436
"08041","Colorado","El Paso",736008,87470,8.533097115285043,35.0,1609
"08043","Colorado","Fremont",49394,61027,13.975230109392319,44.9,1036
"08045","Colorado","Garfield",62034,86172,9.07170231583085,37.2,1515
"08047","Colorado","Gilpin",5877,88654,9.984506799793424,48.7,1340
"08049","Colorado","Grand",15794,84558,9.01015228426396,45.5,1451
"08051","Colorado","Gunnison",17158,77358,13.083013732525053,37.0,1191
"08053","Colorado","Hinsdale",939,64327,4.472843450479233,54.8,1099
"08055","Colorado","Huerfano",6946,52139,17.51064142081315,55.1,739
"08057","Colorado","Jackson",1422,41809,18.220338983050848,51.5,1484
"08059","Colorado","Jefferson",579715,107800,6.702887459570843,40.4,1792
"08061","Colorado","Kiowa",1356,56389,12.791572610985705,43.9,869
"08063","Colorado","Kit Carson",7015,59810,9.14475585091014,39.0,916
"08065","Colorado","Lake",7411,93655,7.2155030236393625,36.9,1599
"08067","Colorado","La Plata",56088,85296,12.449318098046442,42.3,1409
"08069","Colorado","Larimer",363561,91364,11.093363488585766,36.6,1677
"08071","Colorado","Las Animas",14392,50408,17.393212404915154,46.5,875
"08073","Colorado","Lincoln",5561,54257,10.335260115606937,40.7,854
"08075","Colorado","Logan",21067,55074,13.084795321637428,39.1,1027
"08077","Colorado","Mesa",157316,71485,11.169893539296524,40.8,1154
"08079","Colorado","Mineral",799,52455,13.016270337922403,53.7,903
"08081","Colorado","Moffat",13258,70975,11.654249657898738,37.9,1051
"08083","Colorado","Montezuma",26204,63005,13.19930407887106,44.5,974
"08085","Colorado","Montrose",43272,66072,11.9112667834209,45.7,1120
"08087","Colorado","Morgan",29186,75407,12.272616179602668,36.9,1092
"08089","Colorado","Otero",18460,54897,23.60031104199067,40.9,796
"08091","Colorado","Ouray",5024,84556,5.0418493423674775,55.6,1398
"08093","Colorado","Park",17739,95450,7.196043881089069,51.7,1942
"08095","Colorado","Phillips",4491,60372,15.745355686452198,40.3,947
"08097","Colorado","Pitkin",17119,100318,7.154576350638697,47.3,1880
"08099","Colorado","Prowers",11931,57601,17.17041246878498,38.5,741
"08101","Colorado","Pueblo",168726,62250,15.42073434388341,40.4,1059
"08103","Colorado","Rio Blanco",6518,72620,8.982805720713483,39.1,924
"08105","Colorado","Rio Grande",11394,62166,14.911178898259465,43.2,782
"08107","Colorado","Routt",24990,104803,6.404020752269779,42.6,1845
"08109","Colorado","Saguache",6511,54283,17.620737540503008,49.8,746
"08111","Colorado","San Juan",690,73889,16.81159420289855,42.2,1076
"08113","Colorado","San Miguel",8026,80117,8.414481897627965,42.7,1173
"08115","Colorado","Sedgwick",2346,52833,14.507772020725387,42.9,728
"08117","Colorado","Summit",30857,106255,7.424193022497555,39.2,1851
"08119","Colorado","Teller",24774,80666,7.587493410113955,52.0,1746
"08121","Colorado","Washington",4839,65164,7.59956942949408,41.2,991
"08123","Colorado","Weld",340711,93287,9.046413098402466,35.2,1469
"08125","Colorado","Yuma",9921,60051,14.985921368234436,39.6,897
"09110","Connecticut","Capitol Planning Region",969029,91541,10.280858495237386,40.2,1351
"09120","Connecticut","Greater Bridgeport Planning Region",326296,87135,13.229748076632978,40.0,1482
"09130","Connecticut","Lower Connecticut River Valley Planning Region",174983,101117,6.850041542187417,45.8,1399
"09140","Connecticut","Naugatuck Valley Planning Region",452303,86365,10.3441632484817,41.9,1288
"09150","Connecticut","Northeastern Connecticut Planning Region",95829,87564,8.588044074808968,43.9,1153
"09160","Connecticut","Northwest Hills Planning Region",112848,91035,9.174937631243605,47.1,1169
"09170","Connecticut","South Central Connecticut Planning Region",566803,86266,11.584276083150625,40.2,1463
"09180","Connecticut","Southeastern Connecticut Planning Region",279025,84185,10.551438121108465,41.0,1316
"09190","Connecticut","Western Connecticut Planning Region",621232,124553,7.3836599988283,41.5,2060
"10001","Delaware","Kent",185043,72872,11.2880471006443,38.5,1285
"10003","Delaware","New Castle",573030,89901,10.203542779548009,39.2,1379
"10005","Delaware","Sussex",247799,78162,11.5000449923513,51.4,1221
"11001","District of Columbia","District of Columbia",672079,106287,14.530603172839163,34.9,1900
"12001","Florida","Alachua",281751,59659,19.663919552396795,32.2,1255
"12003","Florida","Baker",28186,70833,13.05591987599857,38.1,1011
"12005","Florida","Bay",181368,70188,11.669852088085776,41.4,1424
"12007","Florida","Bradford",27888,59740,19.050410316529895,40.5,838
"12009","Florida","Brevard",620533,75817,9.89520742985527,46.8,1456
"12011","Florida","Broward",1946127,74534,12.232563109555885,41.3,1804
"12013","Florida","Calhoun",13593,46901,21.23548851792221,41.8,680
"12015","Florida","Charlotte",195083,66154,9.55535275977091,60.0,1289
"12017","Florida","Citrus",158693,55355,15.496088079240483,56.9,1069
"12019","Florida","Clay",223436,86094,9.138814631873673,40.2,1464
"12021","Florida","Collier",387681,86173,10.453238459374708,53.1,1752
"12023","Florida","Columbia",70755,55070,17.022404677866483,40.7,915
"12027","Florida","DeSoto",34719,50868,23.080415241669442,42.8,910
"12029","Florida","Dixie",16952,47655,19.29115903316177,45.8,792
"12031","Florida","Duval",1007189,68447,14.619397748421148,36.7,1385
"12033","Florida","Escambia",323275,65715,14.490203288333245,38.1,1234
"12035","Florida","Flagler",121710,72923,9.420115595432572,52.6,1687
"12037","Florida","Franklin",12418,62734,17.31177829099307,49.2,1044
"12039","Florida","Gadsden",43642,46047,27.66077842838164,42.0,792
"12041","Florida","Gilchrist",18494,61070,11.15569823434992,42.7,855
"12043","Florida","Glades",12324,38905,21.151066136610048,45.8,927
"12045","Florida","Gulf",14772,67361,11.604207758053912,47.3,1161
"12047","Florida","Hamilton",13445,47696,27.349869451697128,40.6,819
"12049","Florida","Hardee",25508,54231,24.251535041287315,35.9,954
"12051","Florida","Hendry",40798,53044,21.593354351198517,35.7,958
"12053","Florida","Hernando",201512,63193,12.007097990583064,48.1,1209
"12055","Florida","Highlands",103808,55581,15.392673232432008,54.2,980
